Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Unnamed: 0,Title,Release Date,Team,Rating,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist,weighted_rating,Backlog_Wishlist_Ratio,Release_Year
4689,quake ii,Ps,1998.0,Shooter,Activision,0.23,0.16,0.0,0.03,0.41,1433,quake ii,1997-12-09,"id Software , Activision",3.4,242.0,Shooter,"Quake II is a first-person shooter video game developed by id Software and published by Activision. It is not a direct sequel to Quake, id decided to revert to an existing trademark when they were unable to agree on a new name that did not violate another company's trademark.","one of my first exposures to online multiplayer, and probably one of my fonder memories of it. i loved playing this damn thing even though i was a kid who barely understood what i was doing, thinking i was real cool regardless of my performance. its also instilled a lot of habits that i occasionally have to remind myself dont exist in other games splash damage, bunnyhopping, and good grenade launchers come to mind. this was my first ever video game i beated wow, that was a really fun and brisk game it only took me three days to complete the story in this is pretty straight forward, space marine saving earth from alien invasion, but it makes up for it with the gameplay. this really hit the sweetspot for me since the first game i ever played was doom. the combat in this was so satisfying. the level design was great, too. each level is a hub which branches off to other locations like hexen, but isnt as overly confusing as that game was. the music in this was kickass, done by sonic mayhem and the main theme composed by bill brown and rob zombie. i just really enjoyed the hell out of this. it was a breath of fresh air after the stress of halflife. sound design is the sole reason why q2s singleplayer clicks and every similarly generic throwback fps does not. humans who ignore it are of the same incestous breed who ignore q3as soundtrack fire ost  kino gaem wow, id software really did the impossible. they made a 90s shooter that i stopped playing not because its hard or anything, but because of how boring it is. the visuals are boring, the guns are boring, the enemies are boring, the soundtrack is... not boring, but it loops in a weird way. i mean, if you have the soundtrack at all. wanted to beat this because i like the first quake, but i just cant.",1500.0,18.0,469.0,162.0,3.564607893663166,2.8950617283950617,1997
4690,crash of the titans,Ps2,2007.0,Action,Vivendi Games,0.34,0.01,0.0,0.06,0.41,1296,crash of the titans,2007-10-04,"Radical Entertainment , Sierra Entertainment",3.0,200.0,"Adventure , Platform","Crash of the Titans is the sixth Crash Bandicoot series game. The gameplay has the player explore levels, picking up power-ups to use against enemies as well as for the first time, use fighting combos such as punches and kicks against enemies. When Crash defeats an enemy or destroys an object, a magical substance known as Mojo is released. If the player collects enough Mojo, he will earn either an ability upgrade or a new move.",as a kid this was my crash game el mejor puto videojuego de mi infancia deus como eu odeio esse redesign dos personagens. an interesting twist to a crash bandicoot game. you basically take control of monsters to defeat adversities the game throws at you. what makes it fun imo is each monsters does different things and taking control of a stronger monsters feels satisfying. everything hurts. para de me puxar pra mochila porra ðÿ,3800.0,18.0,196.0,122.0,3.451470945573156,1.6065573770491803,2007
4691,bioshock,Pc,2007.0,Shooter,Take-Two Interactive,0.01,0.39,0.0,0.02,0.41,845,bioshock,2007-08-21,"2K Games , 2K Boston",4.0,1800.0,"Adventure , Rpg , Shooter","BioShock is a horror-themed first-person shooter set in a steampunk underwater dystopia. The player is urged to turn everything into a weapon: biologically modifying their own body with Plasmids, hacking devices and systems, upgrading their weapons, crafting new ammo variants, and experimenting with different battle techniques are all possible. The game is described by the developers as a spiritual successor to their previous PC title System Shock 2. BioShock received high praise in critical reviews for its atmospheric audio and visual quality, absorbing and original plot and its unique gaming experience.","would you kindly like this review. i remember playing this game and loving it, but forgot virtually everything about it except that the electric plasmid  wrench to the head allowed to oneshot kill 90 of the enemies in the game. i guess i should play it again. another one i played years ago, but bloody hell it still sticks. the sixth sense of videogames. nothing left to say. an astonishing world detailed to an incredible degree, and the gunplays good too. the first time a story driven game really wowed me. joguinho brabo viu",17000.0,339.0,4000.0,1200.0,3.931277930026829,3.3333333333333335,2007
4704,wolfenstein: the new order,X360,2014.0,Shooter,Bethesda Softworks,0.18,0.19,0.0,0.04,0.41,216,wolfenstein: the new order,2014-05-20,"MachineGames , Bethesda Softworks",3.6,794.0,"Adventure , Shooter","Wolfenstein: The New Order is an action-adventure shooter game played from a first-person perspective. It is the semi-sequel to 2009's Wolfenstein, however utilizes very little from the game and drops any direct references to veil or supernatural.
             

              To progress through the story, the player battle enemies throughout levels. The game utilizes a health system in which players' health is divided into separate sections that regenerate; if an entire section is lost, the player must use a health pack to replenish the missing health. In combat, a cover system can be used as assistance against enemies. The player have the ability to lean around, over, and under cover, which can be used as a tactical advantage during shootouts and stealth levels. The game gives the player a wide variety of weapon optionsâ€”they can be found on the ground, retrieved from dead enemies, or removed from their stationary position and carried around.","ätopyasä harika olan bir oyun kaã oyun var ki almanlar dã¼nya savaåÿänä kazanäyor ve dã¼nyaya hã¼kmediyor, ã¼stã¼ne bunu yã¼ksek bã¼tãe ile anlatäyor mã¼kemmel. oynanäåÿä harika, hikayeyi anlatäåÿä harika, tek kiåÿilik bir orduyuz. nzi mimarisini gã¼zel yansätmäåÿ, silahlarä gã¼zel, evreni gã¼zel oynayän. i dream of burgers and dogs fergus its a pretty good single player fps, heard a lot of good stuff, but it doesnt really do anything special both in terms of narrative and gameplay. decent enough single player fps. doesnât do anything too special but nothing stands out as bad. my second fave wolfenstein, after return. first game i bought when i got my ps4 and it was jaw dropping. just a dope console shooter. wish i could play more from this series but this is genuinely so scary i cant ðÿðÿðÿðÿ i was made for baby games",8400.0,149.0,2200.0,722.0,3.6193953474518215,3.0470914127423825,2014
4709,castlevania: order of ecclesia,Ds,2008.0,Platform,Konami Digital Entertainment,0.31,0.03,0.04,0.03,0.41,671,castlevania: order of ecclesia,2008-10-21,Konami,4.0,483.0,"Adventure , Brawler , Platform , Rpg","Use the brand new Glyph system with over 100 different attack combinations to battle Dracula and his minions throughout 20 explorable areas! Take part in side quests and collect items to power up! Experience a gripping storyline featuring new characters!
             

              In the absence of the Holy Whip, those who live in fear of Dracula seek a replacement, which takes the form of the Order of Ecclesia, an organization that holds the secret to manipulating Glyphs. Shanoa, a young woman possessed with a unique ability to channel Glyphs, is chosen as our protector. This is her destiny and the story of the sacred Order of Ecclesia.","on paper, i love this. an igavania that pulls even more inspiration from simons quest which i thought was actually a pretty cool game with some annoying flaws sounds extremely up my alley. in practice, it ends up being somewhat messy and doesnt really showcase the best of either style. el cuestionable diseño de los mapas es compensado por uno de los mejores sistemas de combate de la franquicia, no que es superficial ni esas mamadas. one of the better games in the series, much more fleshedout combat and rpg customization thanks to the new glyph system which allows an extensive number of different abilities and builds to be created, fantastic music and an good storyline to boot, shanoa is a very good female lead as well. this game is absolutely beautiful. it may be my favorite in the series. the amazing art, story, and combat system really make this game something special. it also has probably the best ost of any castlevania game, and that says a lot considering how the series has consistently great soundtracks. the characters were also really great and interesting and i loved the twist in the story because it didnt feel forced or thrown in, it actually worked very well and this was one of the games where the ending actually made me cry a little. i had a blast playing this all the way through and would highly recommend this to anyone who likes a good challenge eu não sei porque gosto tanto de order of ecclesia, conseguiu me prender mais até do que symphony of the night i am going to be honest... i dont remember much about this game. i do remember it being challenging though. a mixture of simons quest and symphony of the night, but with a more ramped up difficulty.",2000.0,75.0,963.0,540.0,3.8338538545105045,1.7833333333333334,2008
4731,superman: the new superman adventures,N64,1999.0,Action,Titus,0.33,0.07,0.0,0.0,0.41,1458,superman: the new superman adventures,1999-05-31,"Titus Software , WB Games",0.7,69.0,"Adventure , Shooter","Superman: The New Adventures, often referred to as Superman 64, is a 1999 adventure video game developed and published by Titus Software for the Nintendo 64 video game console. The game is based on the television series Superman: The Animated Series. Superman was first released in North America on May 31, 1999 and in Europe on July 23, 1999.","did you know theres a multiplayer mode no one ever talks about how hilarious of an experience the multiplayer is. omega bruh lego batman 3 devs saw all the flying ring races and started gettin ideas technically i completed 99 of the game with the final level freezing and there might beprobably is a way to work around that but well ive done enough lol. watched the final 10 minutes on youtube and its just as tedious as the rest of the game is. very funny, nihilistic ending though which almost made me give the game two stars if it wasnt for literally everything else here. at least its mostly funnybad instead of boringbad. not by much though like 6040 and its still just an overall torturous experience. they really did doubledown on the ring levels here and while it can be somewhat of a thrill when youre going super fast performing a tricky maneuver of hastily placedmoving rings theres just so many of these levels and they go on forever. almost lost my mind a few times here. still those levels are more competent than any of the actual mission objectives and their asinine level designs. definitely a rushed game to say the least. this is only getting a half a star bump up because i kinda love how broken this game is, its really funny to mess around with friends no es un videojuego",859.0,2.0,76.0,55.0,3.258155788039337,1.3818181818181818,1999
4734,the lego movie videogame,Psv,2014.0,Action,Warner Bros. Interactive Entertainment,0.05,0.26,0.0,0.09,0.41,1511,the lego movie videogame,2014-02-04,"WB Games , TT Fusion",2.8,184.0,"Adventure , Puzzle","Join Emmet and an unlikely group of resistance fighters in their heroic quest to thwart Lord Business' evil plans - a mission that Emmet is hopelessly and hilariously unprepared for. It's a wild ride with a surprising mix of over 90 playable characters including Batman, Superman, Wonder Woman, the Green Ninja, Gandalf, Shakespeare, Cleopatra and more.","legal pretty average lego game but it was my childhood pog lego game pretty decent lego game loved the attention to detail all around 4,55 class tt games got crunch time for this.",1700.0,11.0,239.0,73.0,3.4045241759369183,3.2739726027397262,2014
4736,armored core,Ps,1997.0,Simulation,Sony Computer Entertainment,0.13,0.09,0.16,0.03,0.41,665,armored core,1997-07-10,"FromSoftware , Agetec",3.4,197.0,"Shooter , Simulator","Armored Core (アーマード・コア Āmādo Koa) is a mecha video game released in 1997, the first in the Armored Core series. It is an action game played from third person perspective.","actually a good game if you use mouse and keyboard. played through this game and its two sequels on the steam deck for the first time, really enjoyed all 3 games. aged very well for ps1 games. excited to check out the rest of the series in anticipation for the release of armored core 6. great game, dont play it. este juego para ser el primer titulo los desarrolladores supieron aprovechar el hardware de la ps1 de manera muy inteligente, en modelar los modelos de diseños de niveles y de los mechas al 3d con una ampliación muy vista y amplia en una cámara al aire libre con jugabilidad en tercera persona y un esquema de control tanque para que los desarrolladores acentúen controles muy a lo resident evil y el resultado les salió bien. con unas misiones sencillas pero entretenidas pero que no arruinan el pacing y con un buen posicionamiento de enemigos. también que la mecanica de fijar en blanco a un enemigo funciona muy bien con la cohesión del control tanque para fijar a alguien en concreto sobre todo en oleadas de enemigos que funciona muy bien esta mecánica de juego y hace que no sea tan injusto. les recomiendo probar este título para los que quieran jugar este juego. first ac game and one of better entry nothing that from can come up with will ever contest the difficulty of the platforming in the final stage, real sicko shit",522.0,38.0,404.0,216.0,3.576127886221242,1.8703703703703705,1997
4742,call of duty: advanced warfare,Pc,2014.0,Shooter,Activision,0.14,0.23,0.0,0.04,0.41,1196,call of duty: advanced warfare,2014-11-03,"Activision , Sledgehammer Games",2.5,415.0,Shooter,"Call of Duty: Advanced Warfare envisions the powerful battlegrounds of the future, where both technology and tactic have evolved to usher in a new era of combat for the franchise. Delivering a stunning performance, Academy Award winning actor Kevin Spacey stars as Jonathan Irons – one of the most powerful men in the world – shaping this chilling vision of the future of war.","me julguem mas eu gosto desse jogo, a campanha é muito boa também, zerei em todas plataformas também god how it fell off some of the levels in this game carry the same energy as the boats n hoes scene in step brothers two deluded morons being utterly incompetent at what theyre doing, but celebrating it as if theyre heroes. i will not press f to pay respects because loot boxes and overpowered loot box guns are the devil. exclusively playing the snipers only playlist made my experience marginally better because loot boxes didnt matter as much i hate videogames русская озвучка с нигерском акцентом просто топчик",5200.0,13.0,308.0,151.0,3.0977354597447837,2.0397350993377485,2014
4747,no more heroes 2: desperate struggle,Wii,2010.0,Action,Rising Star Games,0.21,0.12,0.04,0.03,0.41,272,no more heroes 2: desperate struggle,2010-01-26,"Ubisoft Entertainment , Grasshopper Manufacture",3.5,608.0,"Adventure , Brawler","No More Heroes 2: Desperate Struggle continues the tale of punk anti-hero Travis Touchdown, the Japanese anime Otaku, and pro wrestling-obsessed assassin. Travis finds himself at the bottom of the UAA (United Assassins Association) rankings and must wage war to become the No. 1 assassin once again. The follow-up to the popular No More Heroes will offer fans infectious, fun gameplay that allows you to wield not just one, but two swords and face multiple bosses simultaneously in bigger-than-ever boss battles.","i dont understand why i liked it so much but i did. so much pure fun good as the first one no more heroes 2 is more of the first game, but now with more climatic fights, and less filler. this game completely removes the overworld in between fights, although i dont like these minigames as much as the first game. it loses a bit of personality in that sense. abandoned again..all on his own.. what were the climbs worth.. even to struggle as humans yet still.. yeah, thats me, the no more hero. no more heroes 2 is one of those sequels that is, for better and worse, more of the same. for the better, since the core gameplay loop has been finely tuned in order to remove any tedium or progression blocks that the player would run into in the first game. for the worse, however, since sudas absence from the writing and direction in this one is definitely felt.",3200.0,68.0,1500.0,855.0,3.565133046338006,1.7543859649122806,2010
4776,asura's wrath,Ps3,2012.0,Action,Capcom,0.18,0.12,0.06,0.05,0.41,616,asura's wrath,2012-02-21,"Capcom , CyberConnect2",3.7,432.0,Brawler,"The game follows the title character, the demigod Asura as he seeks revenge on the pantheon of other demigods who betrayed him. The story is presented in the style and format of an episodic series of cinematic shorts, including opening and closing credits, with the gameplay being integrated into the cinematic where players switch between third-person combat and interactive sequences with player input in the form of quick-time event button prompts. Because of its unique style, the game has been described in the media as an ""interactive anime"". According to the game's producer Kazuhiro Tsuchiya, Asura's Wrath takes elements from Hinduism and Buddhism and blends them with science fiction, with the main character based on the ever combative and superiority-seeking beings of the same name that are part of the Hindu and Buddhist cosmology.","i need to preface this with the fact that i have not played the dlc, but i dont think they would change my stance on the game tbh. this is a playable anime, for better or worse. while the story scenario, animation, artwork, and music are phenomenal, it leaves you desiring more of a game. there are a ton of cutscenes and qtes, and the gameplay itself is fun but nothing of real depth. dont get me wrong, i didnt hate it and enjoyed the ride despite this essential being an interactive movie with some shmup or beat em sections. the shmup sections i actually found to be tedious and not really all that fun to play. the gameplay in these sections feel like they are too easy and youre just locking on until something blows up, with little player agency. it lacks weight until the end where the difficulty is cranked in these sections. as previously mentioned, the combat is serviceable but nothing to really write home about. i think more combos and variety wouldve put this another tier up. i think the game gets maybe a little too bonkers and selfindulgent at points with asura and his rage, but it kind of adds to the insanity of the story. id recommend playing this once as it genuinely is a really fun ride. just dont go into it expecting a dmc or platinum game level of action game perfection in regards to the combat system and gameplay. 3 12 anime the game. its basically just an interactive anime with all the tropes you can think off. so many qtes but its somehow very fun. the combat is very basic. music is epic. story is told in episodes, really enjoyable. i wish the true ending wasnt locked behind dlc. me hizo llorar como el final de shadow of the collosus d average turkey citizen. one of the rawest fucking video games ever made im just sad",2100.0,65.0,980.0,827.0,3.6765947959456247,1.185006045949214,2012
4835,nba jam,X360,2010.0,Sports,Electronic Arts,0.27,0.1,0.0,0.03,0.4,1434,nba jam,1993-06-02,Midway,3.6,106.0,Sport,"NBA Jam is a basketball arcade game published and developed by Midway in 1993. It is the first entry in the NBA Jam series. The main designer and programmer for this game was Mark Turmell. Midway had previously released such sports games as Arch Rivals in 1989, High Impact in 1990, and Super High Impact in 1991. The gameplay of NBA Jam is based on Arch Rivals, another 2-on-2 basketball video game. However, it was the release of NBA Jam that brought mainstream success to the genre.
              
              The game became exceptionally popular, and generated a significant amount of money for arcades after its release, creating revenue of $1 billion in quarters. In early 1994, the Amusement & Music Operators Association reported that NBA Jam had become the highest-earning arcade game of all time.
              
              The release of NBA Jam gave rise to a new genre of sports games which were based around fast, action-packed gameplay and exaggerated realism, a formula which Midway would also later apply to the sports of football (NFL Blitz), and hockey (2 on 2 Open Ice Challenge).","the console ports of this game dont suffer from the coinmunching syndrome that is plagueing the arcade. fun to play especially against another human, otherwise the ai cheats way too much to make it fun for long. i cannot, and will never, condone an arcade game that is asking you for more money even when you win. u will never find a better basketball game maybe nba street but never forget where u came from there was a local restaurant called shillelaghs that had this game as an arcade cabinet when i was a kid. i didnt even like the food really. i would just want to go to play the game. i didnt even like basketball. just that good of a game. had loads of fun with this gem of a basketball game. i always played as the wolf player. que excelente era cuando lo mejor que habia en cuanto a multijugador de a 4 se trataba, era un juego de basquet sin reglas reales y con personajes que podían saltar 10 metros. eramos felices y no lo sabíamos",847.0,0.0,64.0,23.0,3.6435692587685846,2.782608695652174,1993
4849,mother 3,Gba,2006.0,Role-Playing,Nintendo,0.0,0.0,0.39,0.01,0.4,99,mother 3,2006-04-20,"HAL Laboratory , Nintendo",4.5,1600.0,"Rpg , Turn Based Strategy","A turn-based JRPG and sequel to EarthBound (1994) in which a tragedy surrounding a family in the primitive yet joyful village of Tazmily incites the coming-of-age story of Lucas, the family's younger son, who goes on perilous adventures along with his friends in order to find his missing brother and stop a group of masked men from bringing about the end of the world.","you need to play this game. dont wait for nintendo to do bring it over. pick up a rom and an emulator and play this game. it is an experience that will only be tainted when nintendo gets its grubby hands on it when it localizes it mother 3 es de esos rpg que la gente comenta es de los que me hacen llorar y geniunamente el final casi que logra hacerme llorar, pero igualmente estaba muy movido por dentro. el juego tiene unos escenarios preciosos y un arte y banda sonora geniales para una consola como la gba, geniunamente aprovecha el potencial de la consola, tanto para detacar cada ambiente, donde cada uno es unico, tanto de manera positiva como la negativa para dar entender lo que propone. mother 3 is the perfect jrpg stuck in limbo, mother 3 is a perfect experience. feelings of grief, revenge, and change are all highlighted here. in a rapidly industrialized world, lucas and friends have to find the source of this, all while trying to move on from their painful memories. the game portrays emotion with beautiful animations, and welltimed text boxes. como olvidar cuando se me borro la partida a practicamente nada de terminarlo akakajajjaja i dont think i enjoyed the overall game as much as earthbound, but its a different style of game. earthbound is sillier, and this game is very serious. however, this game is insanely good. an incredible ending, lots of weirdness along the way, and memorable characters that are all incredibly wellwritten. i cant recommend it enough",5700.0,287.0,3600.0,1900.0,4.3155670727469495,1.894736842105263,2006
4858,sonic lost world,Wiiu,2013.0,Platform,Sega,0.24,0.12,0.01,0.03,0.4,1228,sonic lost world,2013-10-18,"Nintendo , Sonic Team",2.5,395.0,"Adventure , Platform","When the Deadly Six threaten to destroy his world, Sonic’s new moves & power-ups are the only way to defeat them before it’s too late!
             

              This is the first out of the three titles of Sega and Nintendo's exclusive collaboration, the others being Mario & Sonic at the Sochi 2014 Olympic Winter Games and Sonic Boom: Rise of Lyric/Sonic Boom: Shattered Crystal.","genuinely one of the worst games ive ever played the snow level sucks i hate it meh. i dont think this game is bad, just really bland. the worlds look stylish and they even made cool 3d models of the classic badniks which is charming. the actual themes of the levels were boring generic regular platformer themes. gotta love the grassdesertbeachicejungleskylava true combo... the deadly six are some of the most boring villains of all time and the plot is made out of nothing. the soundtrack slaps though so theres that. there is still a vibe here that i think is worth experiencing if you are a sonic fan, its just also kinda bland oh sonic lost world has a run button in a sonic game. this makes it so that whenever i want to go fast, i have to hold down the stupid run button. along with a snorey a story that makes me snooze that has puns all over the place i hate puns makes it so that i dont want to finish the game. however, i did anyways because i was 9 years old. segun yo es muy buen juego pero infravalorado",2500.0,34.0,498.0,214.0,3.1119503339360985,2.3271028037383177,2013
4868,nba jam,Ps3,2010.0,Sports,Electronic Arts,0.22,0.12,0.0,0.06,0.4,1434,nba jam,1993-06-02,Midway,3.6,106.0,Sport,"NBA Jam is a basketball arcade game published and developed by Midway in 1993. It is the first entry in the NBA Jam series. The main designer and programmer for this game was Mark Turmell. Midway had previously released such sports games as Arch Rivals in 1989, High Impact in 1990, and Super High Impact in 1991. The gameplay of NBA Jam is based on Arch Rivals, another 2-on-2 basketball video game. However, it was the release of NBA Jam that brought mainstream success to the genre.
              
              The game became exceptionally popular, and generated a significant amount of money for arcades after its release, creating revenue of $1 billion in quarters. In early 1994, the Amusement & Music Operators Association reported that NBA Jam had become the highest-earning arcade game of all time.
              
              The release of NBA Jam gave rise to a new genre of sports games which were based around fast, action-packed gameplay and exaggerated realism, a formula which Midway would also later apply to the sports of football (NFL Blitz), and hockey (2 on 2 Open Ice Challenge).","the console ports of this game dont suffer from the coinmunching syndrome that is plagueing the arcade. fun to play especially against another human, otherwise the ai cheats way too much to make it fun for long. i cannot, and will never, condone an arcade game that is asking you for more money even when you win. u will never find a better basketball game maybe nba street but never forget where u came from there was a local restaurant called shillelaghs that had this game as an arcade cabinet when i was a kid. i didnt even like the food really. i would just want to go to play the game. i didnt even like basketball. just that good of a game. had loads of fun with this gem of a basketball game. i always played as the wolf player. que excelente era cuando lo mejor que habia en cuanto a multijugador de a 4 se trataba, era un juego de basquet sin reglas reales y con personajes que podían saltar 10 metros. eramos felices y no lo sabíamos",847.0,0.0,64.0,23.0,3.6435692587685846,2.782608695652174,1993
4869,mass effect 2,Pc,2010.0,Role-Playing,Electronic Arts,0.01,0.32,0.0,0.07,0.4,201,mass effect 2,2010-01-26,"BioWare , Electronic Arts",4.3,1300.0,"Adventure , Rpg , Shooter","Are you prepared to lose everything to save the galaxy? You'll need to be, Commander Shephard. It's time to bring together your greatest allies and recruit the galaxy's fighting elite to continue the resistance against the invading Reapers. So steel yourself, because this is an astronomical mission where sacrifices must be made. You'll face tougher choices and new, deadlier enemies. Arm yourself and prepare for an unforgettable intergalactic adventure.
             

              Game Features:
             

              Shift the fight in your favour. Equip yourself with powerful new weapons almost instantly thanks to a new inventory system. Plus, an improved health regeneration system means you'll spend less time hunting for restorative items.
             

              Make every decision matter. Divisive crew members are just the tip of the iceberg, Commander, because you'll also be tasked with issues of intergalactic diplomacy. And time's a wastin' so don't be afraid to use new prompt-based actions that let you interrupt conversations, even if they could alter the fate of your crew...and the galaxy.
             

              Forge new alliances, carefully. You'll fight alongside some of your most trustworthy crew members, but you'll also get the opportunity to recruit new talent. Just choose your new partners with care because the fate of the galaxy rests on your shoulders, Commander.","im commander shepard and this is my favorite game on the citadel. i love that the plot is getting all your cool alien friends together. i want a new mass effect that has no suicide mission at the end where you get to hang out with your cool alien friends love this game for allowing me to change my stupid character from 1 to look better. its excellent. this game taught me how to graft. certamente sexo played before 2023 as someone who doesnt really enjoy scifi settings or rpgs, this is one of my favorite games of all time. everything good about the first game is still there, the combat has been streamlined and improved, and you have so many companions with their own unique aspects and quests. this games companion system is absolutely toptier with emotional stories, loyalty, and consequences for your choices that i havent seen in any other game. i cant talk much more about this without spoiling it but god damn, it is good. i am shocked at how much i enjoyed this game, as i only played it because i wanted to speedrun it. i did not expect to enjoy it so much casually. theres a lot of thirdperson shooter gameplay in this roleplaying game. very strange.",9600.0,107.0,1900.0,645.0,4.134965767949748,2.945736434108527,2010
4875,hitman: blood money,X360,2006.0,Action,Eidos Interactive,0.29,0.06,0.01,0.03,0.4,748,hitman: blood money,2006-05-26,"IO Interactive , Eidos Interactive",4.0,414.0,Shooter,"Hitman Blood Money is the fourth installment of the critically acclaimed Hitman series. If Agent 47 must stay hidden, make clean ‘hits’ and leave the scene unnoticed, he will be rewarded. But if he is revealed during a violent act, his picture will end up in the papers and on wanted posters, making the job as a contract killer more difficult.
             

              This time, Agent 47 is paid in cold, hard cash. How the money is spent will affect his passage through the game and the weapons at his disposal, resulting in a unique game-play experience for each player.","top 3 hitman games imo. the game where the hitman series transitioned from the classics codename 47, 2, contracts to to a new era absolution simplemente lo mejor de toda la saga, después de 3 juegos dieron con la fórmula perfecta. yeah its pretty good. not amazing but its fun the game where io finally figured out the perfect formula for an assassin sandbox game hitman blood money is said to be one of the best games in the series and for some they consider it their personal favorite. with such high praise from the fanbase, i walked into this game with both hype and high expectations. having finished the game myself, ill admit that it is fun. what that being said though, the game is far from perfect. i dont know why people praise this game, it was really annoying as a hitman game.",3200.0,37.0,859.0,238.0,3.820523524232859,3.6092436974789917,2006
4877,alpha protocol,X360,2010.0,Role-Playing,Sega,0.23,0.13,0.0,0.04,0.4,1439,alpha protocol,2010-05-28,"Obsidian Entertainment , Sega",3.3,170.0,"Rpg , Shooter","A talented young agent cast out by his government, Thorton is the only one with the information needed to stop an impending international catastrophe. To do so means he must cut himself off from the very people he is sworn to protect. As players determine how to accomplish different objectives, the decisions made and actions taken in each mission will ultimately transform the type of secret agent Michael Thorton will become. Every choice the player makes as Michael Thorton will carry consequences for his future and the fate of the world.","i think if alpha protocol had good gameplay it would be immediately a lot better, still have a lot of issues with the storytelling and how impressively offensive the game can be both intentionally and unintentionally if the bugs were not there and the game worked as intended , the game would be solid . the only thing the sequel if it were to happen would need if the bugs were fixed would be to be a longer game , better thorton dialogue , better gameplay and to have an art style. overall, this broken and flawed game is better than 100 of modern games . hrny cia game the most alienating part about the mass effect games is the way theyre consistently written as though their fascistic manboy protagonist were charming or at least normal. obsidian makes this game substantially more playable by writing mike thorton as consistently weird and unpersonable. rather than cultivating a sense of identification with the player, which by convention we still call roleplaying, the dialogue options presage deltarune and feel like steering a man who desperately wants to sabotage his own life down a narrow path of relative normalcy. gostoso de jogar qnem um filme de ação bem feito é gostoso de assistir. if you play it on easy its amazing. definitely doing a second run as soon as possible",987.0,9.0,511.0,182.0,3.5562503747406797,2.8076923076923075,2010
4882,ultimate spider-man,Xb,2005.0,Action,Activision,0.26,0.11,0.0,0.02,0.39,1237,ultimate spider-man,2005-09-21,"Activision , Beenox",3.6,300.0,Brawler,"Based on the comic book of the same name, Ultimate Spider-Man lets you play as either the hero Spider-Man or his arch-nemesis, Venom. Use the unique combat techniques of either Spider-Man or Venom to battle a host of Spider-Man characters. Artistic contributions by the creators of the series make for an authentic Spider-Man experience.","un juego que adapta un comic buenardo y el juego igual de buenardo, lastima que no se june mucho  razón de la cancelación de su secuela me encataba subir a los edificios más altos y luego tirarme. decided to play this after the ps1 spider man game. ended up emulating it on the pc and it ran pretty great, minus a few missing textures and some occasional screen tears. however it ran at full 60fps the whole time which is what matters. me encanto la técnica de cell shading que usaron en este juego, sin duda explimio e hizo que se viera bastante bien en la consola me hubiera gustado una version para ps3 ya que salio en 2005 me encanto el combate final y fue de los primeros juegos en pasármelos sin memory card i have returned 6 years to the day to beat my 100 hour save file that i had to leave behind in 2017 because i couldnt open the door during the carnage boss. i got this game when i was like 3 years old. i only ever played on one file for 10 years. my last save was on march 7th 2017. today, on march 7th 2023 i have come back, and demolished the door to beat the game. fuck you. i beat you. i win. mdr mais pourquoi les dialogues saturent aled",3700.0,25.0,382.0,280.0,3.6322389153354675,1.3642857142857143,2005
4977,saints row iv,Ps4,2015.0,Action,Deep Silver,0.13,0.17,0.03,0.06,0.38,1105,saints row iv,2013-08-19,"Volition , Deep Silver",3.1,386.0,"Adventure , Shooter","Unlike the first three games in the franchise, Saints Row 4 does not center around the main character defeating three rival gangs in order to take over a city. The Saints have now become a household name, and their leader has become the president of the Unites States. The antagonists in Saints Row 4 are an invading alien race known as the Zin. Most of the game takes place within a computer simulation of the city of Steelport controlled by the Zin, where the protagonist is attempting to free himself and his companions.","infamous at home finally got back to finish this, its stupid, but mindless fun putaria, literalmente putaria this game relies a lot on pop culture references for its humor in a way that got tiring for me pretty quickly. also, i played this right after playing sr3 and the lack of gameplay changes did not win it any points with me. never actually gonna finish saints row 4 i just like murdering mfs in hot dog suits with telekinesis iets te wild",7200.0,64.0,775.0,176.0,3.39693537360608,4.403409090909091,2013
